layer,token_pos,token_offset,feature_dim,mean_test_accuracy,std_test_accuracy,mean_test_f1,std_test_f1,mean_test_auroc,std_test_auroc
14,5,-3,896,0.6400401988786629,0.025996865253116393,0.7302297878278095,0.02715283822962145,0.6561575662240422,0.03546492528724999
15,7,-1,896,0.6501851264148948,0.04086282388525031,0.7304166777430331,0.033381912973396,0.6558633396993028,0.03893347265364695
9,7,-1,896,0.6356289008780281,0.04702858107399236,0.7192539301327388,0.041252829981988814,0.6525932095661163,0.047587040876634956
7,6,-2,896,0.650174547762615,0.036920972588149005,0.7349150622608971,0.031309761267138955,0.6517984237740021,0.02568772580835255
13,4,-4,896,0.6458267216756586,0.03262390160056575,0.7365327950068091,0.028398131595170337,0.6514966264353366,0.054379916378974755
12,7,-1,896,0.6588490426319688,0.030338449721174544,0.7384353989644923,0.028361137921417336,0.6514170642903041,0.02360411489080782
12,4,-4,896,0.6473817835607745,0.05136536047864989,0.735451876399892,0.04293222281555669,0.6487770079744244,0.049798517908705195
16,6,-2,896,0.6356500581825875,0.02948535508988854,0.7258393800959259,0.019441138203016812,0.6485650127119829,0.041048999605874895
6,6,-2,896,0.6326986141965514,0.04669130472478743,0.7178989609967937,0.045797641661675596,0.6460332177879952,0.04523035657337588
13,5,-3,896,0.6328149793716281,0.03432026862110084,0.7192293891796927,0.03595775219322904,0.6458835975509976,0.033730354492976476
16,5,-3,896,0.6357135300962657,0.03695566137142866,0.7262333606431743,0.030644545020657277,0.6444457041680136,0.05344131202497621
23,5,-3,896,0.6240770125885963,0.03427286452494777,0.7130453452963446,0.037517833501794266,0.6436235037976299,0.05873443837702027
5,7,-1,896,0.6298212207764731,0.04537764160674269,0.7159544666622706,0.040784264354298716,0.6431765887982885,0.06085459075183781
10,7,-1,896,0.6472654183856977,0.03952087934830298,0.7275159102690723,0.03681348070824614,0.6428732573408208,0.0444734869074893
13,1,-7,896,0.6226806304876759,0.03479699050168099,0.7142000183482929,0.03318855728433607,0.6405583344309143,0.04377367724976314
18,5,-3,896,0.6095842589654079,0.02298386949744677,0.703030616291412,0.020967315140641443,0.6395273567058204,0.03811969088728544
13,0,-8,896,0.6196868718925209,0.03507818567772068,0.7048627993287034,0.02738170562501192,0.6395066523382466,0.05635073413619368
19,5,-3,896,0.6342219401248281,0.025379167938063524,0.7233928181340009,0.026545143580622876,0.6391812071195087,0.03561278441848365
